"Date","Price","Open","High","Low","Vol.","Change %"
"02/26/1978","87.45","88.49","88.97","86.45","101.15M","-1.18%"
"02/19/1978","88.49","87.96","88.87","86.83","81.57M","0.60%"
"02/12/1978","87.96","90.08","90.30","87.55","97.52M","-2.35%"
"02/05/1978","90.08","89.62","91.32","88.95","85.08M","0.51%"
"01/29/1978","89.62","88.58","90.91","88.26","101.96M","1.17%"
"01/22/1978","88.58","89.89","90.08","88.02","93.96M","-1.46%"
"01/15/1978","89.89","89.69","91.04","88.88","88.59M","0.22%"
"01/08/1978","89.69","91.48","91.48","89.23","116.79M","-2.11%"
"01/01/1978","91.62","95.10","95.15","91.05","91.53M","-3.66%"
"12/25/1977","95.10","94.69","95.67","93.99","83.55M","0.43%"
"12/18/1977","94.69","93.40","94.99","91.76","117.09M","1.38%"
"12/11/1977","93.40","93.65","94.42","92.90","101.36M","-0.27%"
"12/04/1977","93.65","94.67","95.01","92.15","103.59M","-1.08%"
"11/27/1977","94.67","96.69","96.98","93.78","112.57M","-2.09%"
"11/20/1977","96.69","95.33","97.11","94.59","95.77M","1.43%"
"11/13/1977","95.33","95.98","96.47","94.59","124.95M","-0.68%"
"11/06/1977","95.98","91.58","96.49","91.32","129.05M","4.80%"
"10/30/1977","91.58","92.61","93.03","90.01","94.79M","-1.11%"
"10/23/1977","92.61","92.32","93.15","90.20","107.63M","0.31%"
"10/16/1977","92.32","93.56","94.19","91.60","100.25M","-1.33%"
"10/09/1977","93.56","95.97","96.15","92.88","95.17M","-2.51%"
"10/02/1977","95.97","96.53","97.27","95.20","93.35M","-0.58%"
"09/25/1977","96.53","95.04","96.85","94.44","97.60M","1.57%"
"09/18/1977","95.04","96.48","96.59","94.51","93.54M","-1.49%"
"09/11/1977","96.48","96.37","97.31","95.37","87.50M","0.11%"
"09/04/1977","96.37","97.45","98.43","95.97","70.59M","-1.11%"
"08/28/1977","97.45","96.06","97.76","95.59","87.02M","1.45%"
"08/21/1977","96.06","97.51","98.52","95.04","94.21M","-1.49%"
"08/14/1977","97.51","97.88","98.69","96.78","97.85M","-0.38%"
"08/07/1977","97.88","98.76","99.45","97.31","92.66M","-0.89%"
"07/31/1977","98.76","98.85","99.84","97.53","96.35M","-0.09%"
"07/24/1977","98.85","101.67","101.85","97.71","114.95M","-2.77%"
"07/17/1977","101.67","100.18","102.57","99.94","141.19M","1.49%"
"07/10/1977","100.18","99.79","100.68","98.81","94.54M","0.39%"
"07/03/1977","99.79","100.10","100.72","99.12","83.64M","-0.31%"
"06/26/1977","100.10","101.19","101.63","99.30","99.11M","-1.08%"
"06/19/1977","101.19","99.97","101.65","99.56","129.57M","1.22%"
"06/12/1977","99.97","98.46","100.47","98.06","114.55M","1.53%"
"06/05/1977","98.46","97.69","98.86","96.60","102.81M","0.79%"
"05/29/1977","97.69","96.27","98.12","95.52","75.07M","1.48%"
"05/22/1977","96.27","99.35","99.35","95.92","93.40M","-3.20%"
"05/15/1977","99.45","99.03","100.93","98.76","111.49M","0.42%"
"05/08/1977","99.03","99.49","100.09","97.91","97.06M","-0.46%"
"05/01/1977","99.49","98.44","100.79","97.97","106.07M","1.07%"
"04/24/1977","98.44","98.32","98.87","96.53","97.77M","0.00%"
"04/17/1977","98.44","101.04","101.36","98.08","105.87M","-2.57%"
"04/10/1977","101.04","98.35","102.07","98.08","113.93M","2.74%"
"04/03/1977","98.35","99.21","99.50","97.43","68.44M","-0.87%"
"03/27/1977","99.21","99.06","100.12","97.80","86.11M","0.15%"
"03/20/1977","99.06","101.86","102.13","98.71","92.26M","-2.75%"
"03/13/1977","101.86","100.65","102.70","100.24","105.91M","1.20%"
"03/06/1977","100.65","101.20","101.85","99.49","93.46M","-0.54%"
"02/27/1977","101.20","99.48","101.67","98.91","90.22M","1.73%"
"02/20/1977","99.48","100.49","101.22","98.82","73.31M","-1.01%"
"02/13/1977","100.49","100.22","102.22","99.51","101.36M","0.27%"
"02/06/1977","100.22","101.88","102.65","99.74","111.23M","-1.63%"
"01/30/1977","101.88","101.93","103.32","100.91","119.24M","-0.05%"
"01/23/1977","101.93","103.32","104.08","101.08","124.13M","-1.35%"
"01/16/1977","103.32","104.01","104.45","102.35","123.01M","-0.66%"
"01/09/1977","104.01","105.01","105.75","102.75","116.89M","-0.95%"
"01/02/1977","105.01","107.46","107.97","104.30","114.67M","-2.28%"
"12/26/1976","107.46","104.84","107.82","104.58","110.70M","2.50%"
"12/19/1976","104.84","104.26","105.59","102.99","96.61M","0.56%"
"12/12/1976","104.26","104.70","105.89","103.80","126.05M","-0.42%"
"12/05/1976","104.70","102.76","105.36","102.53","133.29M","1.89%"
"11/28/1976","102.76","103.15","103.46","101.46","103.68M","-0.38%"
"11/21/1976","103.15","101.92","103.51","101.41","75.44M","1.21%"
"11/14/1976","101.92","99.24","102.77","98.53","106.18M","2.70%"
"11/07/1976","99.24","100.62","100.62","98.18","83.40M","-1.57%"
"10/31/1976","100.82","102.90","103.78","100.48","80.22M","-2.02%"
"10/24/1976","102.90","99.96","103.10","99.21","78.54M","2.94%"
"10/17/1976","99.96","100.88","102.32","99.24","83.62M","-0.91%"
"10/10/1976","100.88","102.48","102.48","100.02","89.34M","-1.64%"
"10/03/1976","102.56","104.17","104.62","102.05","89.27M","-1.55%"
"09/26/1976","104.17","106.80","107.70","103.60","91.28M","-2.46%"
"09/19/1976","106.80","106.27","108.72","105.74","126.61M","0.50%"
"09/12/1976","106.27","104.65","106.81","103.28","97.11M","1.55%"
"09/05/1976","104.65","104.30","105.73","103.79","69.53M","0.34%"
"08/29/1976","104.30","101.48","104.84","101.22","77.46M","2.78%"
"08/22/1976","101.48","102.37","102.65","100.43","76.98M","-0.87%"
"08/15/1976","102.37","104.25","105.41","101.96","84.01M","-1.80%"
"08/08/1976","104.25","103.79","105.24","103.01","76.59M","0.44%"
"08/01/1976","103.79","103.44","105.18","102.64","82.48M","0.34%"
"07/25/1976","103.44","104.06","104.69","102.31","73.27M","-0.60%"
"07/18/1976","104.06","104.68","105.32","103.05","86.83M","-0.59%"
"07/11/1976","104.68","104.98","106.78","103.87","115.99M","-0.29%"
"07/04/1976","104.98","104.11","105.41","102.80","79.81M","0.84%"
"06/27/1976","104.11","103.72","105.07","102.95","98.80M","0.38%"
"06/20/1976","103.72","103.76","104.82","102.40","95.29M","-0.04%"
"06/13/1976","103.76","101.00","104.80","100.84","114.84M","2.81%"
"06/06/1976","100.92","99.15","101.22","97.97","81.30M","1.79%"
